Variable:,tas
Country:,Germany
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,-0.87,4.38,6.25,10.75,10.50,16.26,15.47,16.11,16.63,10.79,3.84,-0.79
1962,1.53,0.45,0.47,8.40,9.92,14.39,15.30,16.30,12.80,9.25,2.78,-3.25
1963,-7.29,-5.41,2.58,8.57,12.01,16.02,17.98,16.30,14.11,8.47,7.36,-3.07
1964,-2.41,0.63,0.78,8.86,13.63,17.14,18.20,16.26,14.05,7.25,4.97,0.33
1965,0.99,-1.69,2.54,6.94,11.13,15.69,15.22,15.35,13.14,8.68,1.44,2.10
1966,-2.85,3.42,3.39,8.75,12.99,17.02,15.83,15.80,13.71,11.23,2.33,1.60
1967,0.37,2.79,5.52,6.79,12.64,14.87,18.85,16.81,14.22,11.47,4.14,0.14
1968,-1.25,0.77,4.64,9.32,11.00,16.17,16.43,16.64,13.83,10.48,3.99,-2.06
1969,0.32,-1.99,1.07,7.24,13.02,14.92,18.53,16.81,14.34,10.38,5.12,-4.64
1970,-2.45,-1.11,1.36,5.59,11.35,17.21,16.34,17.11,13.70,9.06,5.82,0.33
1971,-1.11,1.36,1.12,8.55,13.95,14.10,18.27,18.28,12.62,9.40,3.65,3.35
1972,-2.24,2.16,5.54,7.47,11.49,14.72,17.84,16.14,11.19,7.19,4.35,0.85
1973,-0.01,1.09,4.16,5.44,12.61,16.26,17.38,18.14,14.61,7.62,3.42,0.18
1974,3.14,3.22,5.68,8.24,11.10,14.27,15.59,17.49,13.58,5.82,4.87,4.45
1975,4.24,1.44,3.73,7.05,11.89,14.82,18.28,19.07,15.94,7.81,3.23,1.20
1976,0.87,0.66,1.53,7.24,12.90,17.43,19.34,16.46,13.08,9.77,4.87,-1.02
1977,0.30,3.02,6.29,5.95,11.76,15.54,16.59,16.06,12.24,10.45,5.06,1.92
1978,0.57,-1.08,4.94,6.77,11.53,14.92,15.68,15.54,12.54,9.41,4.48,0.17
1979,-4.27,-1.61,3.77,6.63,12.42,16.56,15.50,15.87,13.65,8.94,3.73,3.45
1980,-2.72,2.19,3.27,6.27,10.67,14.75,15.32,16.96,14.41,8.26,3.10,0.49
1981,-1.48,-0.24,6.82,8.08,13.23,15.48,16.51,16.76,14.43,8.39,4.59,-2.25
1982,-2.08,0.15,4.38,6.89,12.64,16.47,19.06,17.75,16.28,9.96,6.20,2.04
1983,3.79,-1.31,4.81,8.86,11.52,16.40,20.52,18.42,14.22,9.57,3.79,0.78
1984,0.95,-0.20,2.23,7.25,10.96,13.99,16.11,17.46,12.73,10.58,5.33,1.16
1985,-5.48,-2.67,2.98,7.94,13.31,13.78,17.73,16.73,14.09,9.30,1.05,3.63
1986,-0.07,-6.08,3.23,6.55,14.20,16.02,17.30,16.64,12.00,10.05,6.10,1.86
1987,-5.81,-0.06,-0.19,9.39,9.83,14.08,17.11,15.90,15.02,9.73,5.03,2.09
1988,3.40,2.13,2.85,8.36,14.29,15.29,17.38,17.43,13.75,10.00,3.13,3.11
1989,2.47,3.60,7.27,7.59,13.96,15.57,18.00,17.39,14.95,10.87,3.10,2.45
1990,2.48,6.02,7.30,7.83,14.13,15.46,17.07,18.77,12.40,10.69,4.61,0.65
1991,1.45,-1.88,6.80,7.54,9.67,13.75,19.38,18.37,15.49,8.61,4.11,0.69
1992,0.94,2.96,5.10,8.26,14.65,17.49,18.98,19.51,14.00,6.80,5.53,1.30
1993,2.32,-0.19,3.95,10.54,14.77,15.90,16.33,16.31,12.64,8.26,0.71,2.89
1994,2.72,0.07,6.53,8.32,12.67,16.06,21.48,18.33,13.71,8.13,7.06,3.39
1995,0.16,4.62,3.39,8.65,12.48,14.56,20.35,18.70,12.98,12.17,3.25,-1.88
1996,-1.78,-2.01,1.22,8.91,11.29,15.84,16.15,17.51,11.31,9.59,4.59,-2.07
1997,-2.26,4.14,6.04,6.72,12.77,16.02,17.36,20.05,14.51,8.13,4.21,2.07
1998,2.28,4.67,5.06,9.15,14.17,16.64,16.70,17.20,13.79,8.82,1.59,0.92
1999,2.51,0.50,5.63,9.24,13.84,15.45,19.20,17.63,17.19,9.40,3.68,1.95
2000,0.93,3.89,5.24,10.54,14.85,17.14,15.51,18.12,14.44,10.92,6.29,3.13
2001,0.82,2.31,4.37,7.37,14.37,14.48,18.67,18.95,12.15,12.85,4.01,-0.44
2002,1.29,5.11,5.74,8.31,13.85,17.48,17.98,19.07,13.73,8.49,5.56,0.18
2003,-0.42,-1.53,5.61,8.70,14.24,18.82,19.23,20.39,14.57,6.30,6.28,1.90
2004,-0.50,2.50,4.41,9.56,11.73,15.46,16.99,18.75,14.57,10.47,4.39,1.22
2005,1.81,-0.91,3.82,9.54,12.96,16.59,18.25,16.16,15.58,11.53,4.46,0.63
2006,-2.43,-0.15,1.83,8.42,13.22,17.07,21.66,15.91,17.40,12.51,7.34,4.43
2007,4.50,3.98,6.44,11.83,14.35,17.64,17.53,17.34,13.04,8.76,3.86,1.46
2008,3.49,4.04,4.40,8.06,14.75,17.25,18.30,17.80,13.01,9.50,5.26,1.02
2009,-1.81,0.73,4.52,12.05,13.91,15.18,18.43,19.26,15.26,8.49,7.53,0.18
2010,-3.63,-0.20,4.42,9.22,10.70,16.70,20.74,17.19,12.95,8.47,4.82,-3.54
2011,0.90,1.20,5.29,12.00,14.24,16.92,16.46,18.15,15.85,9.87,5.30,3.61
2012,1.72,-2.30,7.30,8.58,14.40,15.91,17.77,19.00,14.33,9.29,5.58,1.30
2013,0.04,-0.59,0.54,8.64,12.00,16.03,19.89,18.50,13.71,11.01,4.78,3.56
2014,2.00,4.54,7.40,11.19,12.63,16.58,19.61,16.41,15.42,12.18,6.92,2.46
2015,1.98,1.27,5.52,8.98,12.69,16.23,19.79,20.23,13.47,8.80,7.73,6.42
2016,0.90,3.41,4.30,8.48,13.91,17.32,18.97,18.23,17.38,8.64,4.14,2.48
2017,-1.73,3.11,7.55,7.94,14.39,18.23,18.38,18.45,13.22,11.38,5.15,2.33
2018,3.42,-1.64,2.61,12.27,16.16,18.03,20.67,20.29,15.77,11.24,5.60,3.53
2019,0.32,4.58,6.79,10.00,11.22,19.27,19.31,19.60,14.71,11.16,5.42,3.76
2020,3.64,5.33,5.46,10.99,12.31,17.27,18.11,20.49,15.59,10.35,6.77,3.02
2021,0.41,2.26,5.06,6.48,10.96,19.31,18.78,16.83,15.75,10.10,5.23,2.34
