Variable:,pr
Country:,Germany
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,61.12,59.01,46.90,46.73,79.22,34.89,82.32,76.42,58.68,19.41,28.44,65.11
1963,23.29,20.20,45.66,43.08,53.46,83.20,59.30,119.59,52.66,40.34,83.93,11.18
1964,22.31,32.56,43.04,51.19,64.46,63.70,41.92,78.01,47.77,64.96,62.19,40.36
1965,75.60,34.26,50.63,85.70,91.08,96.33,129.49,64.67,74.62,14.64,74.74,106.27
1966,43.58,64.19,56.73,70.73,65.32,108.96,120.68,104.97,36.89,67.83,55.21,105.83
1967,50.97,47.11,62.58,42.18,77.35,75.15,66.93,82.14,80.55,60.93,47.53,69.33
1968,74.02,40.07,39.85,42.96,65.35,83.82,81.37,108.34,106.09,61.63,41.15,29.72
1969,44.27,47.72,38.76,66.01,74.73,93.62,47.83,105.69,21.19,19.11,76.01,31.34
1970,41.41,101.74,51.30,85.83,67.15,61.96,88.55,80.03,52.57,80.28,63.79,39.94
1971,27.45,32.02,27.95,30.79,66.03,112.91,33.78,70.05,40.11,28.84,59.35,33.53
1972,19.28,12.04,34.69,61.36,82.07,94.73,87.26,75.92,41.52,28.23,74.18,15.28
1973,29.48,45.68,22.06,61.49,59.05,60.33,92.93,40.21,47.03,67.32,70.75,55.62
1974,48.63,48.25,31.37,17.84,61.78,82.59,91.46,68.78,65.57,112.67,65.86,104.22
1975,57.05,18.28,46.92,53.43,48.94,83.52,78.61,76.66,55.09,35.11,56.34,24.47
1976,90.19,20.52,19.21,25.04,55.40,32.37,70.03,39.52,60.30,41.32,55.83,40.29
1977,52.34,74.51,44.17,73.56,38.37,85.50,75.90,97.81,41.49,42.37,90.47,49.25
1978,40.17,35.80,66.91,25.98,87.14,72.30,74.26,89.68,88.13,45.34,19.11,77.32
1979,42.48,42.71,79.17,60.07,60.57,78.35,68.44,75.00,55.30,26.19,85.49,88.43
1980,41.22,46.82,37.76,71.05,38.35,106.68,128.97,70.86,51.09,73.63,48.15,57.02
1981,71.07,32.18,82.06,35.26,75.41,88.25,100.61,75.72,67.17,115.05,71.15,83.30
1982,69.13,14.03,41.99,31.84,61.57,85.09,60.07,74.13,28.71,77.10,40.41,70.98
1983,75.51,41.07,50.09,91.70,114.35,57.58,33.05,60.32,61.39,39.74,47.16,48.34
1984,81.23,56.66,18.92,37.47,98.99,79.50,71.21,54.61,101.10,59.46,47.65,37.20
1985,47.99,25.82,41.99,58.61,61.65,98.15,68.16,87.01,46.65,15.81,59.79,66.30
1986,84.70,15.32,60.91,55.91,81.23,67.62,75.35,85.60,54.14,66.06,36.63,86.94
1987,53.07,51.97,53.97,39.03,86.06,109.80,113.48,76.81,80.30,44.71,65.78,48.10
1988,67.65,79.51,105.00,24.85,44.22,67.47,103.74,61.40,61.13,48.99,50.01,86.13
1989,18.93,43.70,45.52,78.85,25.32,61.62,82.93,68.80,46.56,53.14,42.19,69.45
1990,35.82,88.49,30.90,51.64,37.09,111.50,44.39,70.09,81.59,47.01,75.30,60.32
1991,38.26,23.55,31.27,35.17,46.87,109.74,63.51,47.40,47.90,31.47,66.47,62.57
1992,32.56,38.22,82.09,51.99,30.64,67.35,91.12,88.95,38.11,72.29,92.44,49.26
1993,69.84,27.55,18.12,34.31,66.62,77.03,137.06,62.49,85.18,66.81,31.38,117.07
1994,72.41,28.94,77.47,76.07,71.04,62.61,62.00,95.11,80.29,47.03,47.25,68.98
1995,87.51,64.82,66.47,50.99,73.50,88.08,74.60,80.53,80.47,23.75,49.35,41.36
1996,5.59,40.20,21.23,21.75,88.99,54.91,85.55,84.28,43.13,69.03,71.26,36.46
1997,10.35,70.89,40.79,41.71,61.26,89.68,110.62,49.65,27.76,58.03,36.37,68.52
1998,52.20,21.37,54.75,68.47,41.34,93.12,81.40,62.34,94.54,132.18,59.94,47.25
1999,54.61,65.36,55.05,54.97,72.78,79.58,74.92,72.66,50.22,40.81,48.19,99.75
2000,44.89,70.12,77.23,37.70,64.92,52.52,108.79,73.40,74.39,57.91,52.65,43.22
2001,51.37,49.22,88.02,68.03,41.98,82.75,78.33,69.91,110.36,44.88,68.12,59.40
2002,37.94,89.27,54.28,45.96,76.00,76.26,111.23,113.65,56.93,93.86,97.55,57.64
2003,64.82,16.43,22.20,36.58,62.82,61.52,70.58,33.90,43.36,70.42,37.78,47.92
2004,87.27,44.95,32.92,35.81,62.76,72.86,104.03,84.53,51.80,56.20,59.02,39.23
2005,54.56,52.42,36.75,50.12,72.63,55.20,122.33,88.01,50.09,40.59,40.79,54.70
2006,23.42,42.57,65.65,60.91,82.28,48.80,57.58,130.77,34.81,59.47,49.65,44.82
2007,80.16,64.95,56.77,6.74,116.10,107.85,125.01,96.77,83.24,24.18,70.58,53.44
2008,62.67,35.52,69.18,74.57,32.73,60.58,88.49,84.82,55.61,74.54,39.59,41.86
2009,29.15,53.43,63.17,27.44,75.93,82.64,107.77,43.04,38.62,70.39,83.58,76.33
2010,38.79,39.59,43.13,21.13,95.90,52.58,81.78,143.95,74.29,34.80,87.52,75.77
2011,51.03,28.43,22.03,24.53,44.67,85.03,113.20,98.36,54.52,50.39,2.68,102.74
2012,86.76,23.07,13.62,40.88,53.30,95.18,103.65,65.69,46.85,58.91,57.29,81.22
2013,57.35,47.35,32.70,37.61,118.96,88.19,42.44,59.49,76.97,75.66,64.94,40.07
2014,42.97,29.41,16.65,41.32,87.54,50.07,128.60,99.86,52.63,64.72,31.98,67.73
2015,76.92,21.84,45.26,39.17,51.91,61.66,65.39,75.38,52.91,49.17,83.33,32.32
2016,67.94,68.57,38.59,51.72,66.33,109.69,80.73,53.89,40.07,58.02,51.71,25.97
2017,40.87,41.82,49.61,43.82,55.95,95.24,123.70,86.46,64.18,75.12,71.08,66.91
2018,85.17,18.65,46.06,35.25,53.11,52.09,47.36,51.92,45.12,28.18,19.87,88.42
2019,61.96,27.62,58.44,25.41,74.80,61.33,57.64,70.39,62.53,75.71,52.51,47.88
2020,34.90,105.69,43.84,18.10,38.33,87.50,55.89,84.20,53.33,72.36,17.62,49.84
2021,72.21,46.41,38.99,32.64,87.26,96.52,110.10,108.48,33.32,42.06,49.76,54.83
